Date,Decision
2025-01-02,BUY
2025-01-03,BUY
2025-01-06,SELL
2025-01-07,SELL
2025-01-08,SELL
2025-01-09,SELL
2025-01-10,SELL
2025-01-13,BUY
2025-01-14,HOLD
2025-01-15,SELL
2025-01-16,SELL
2025-01-17,BUY
2025-01-21,SELL
2025-01-22,SELL
2025-01-23,BUY
2025-01-24,SELL
2025-01-27,SELL
2025-01-28,BUY
2025-01-29,SELL
2025-01-30,SELL
2025-01-31,SELL
2025-02-03,SELL
2025-02-04,SELL
2025-02-05,BUY
2025-02-06,SELL
2025-02-07,SELL
2025-02-10,SELL
2025-02-11,SELL
2025-02-12,SELL
2025-02-13,BUY
2025-02-14,BUY
2025-02-18,BUY
2025-02-19,BUY
2025-02-20,BUY
2025-02-21,HOLD
2025-02-24,SELL
2025-02-25,BUY
2025-02-26,SELL
2025-02-27,HOLD
2025-02-28,BUY
2025-03-03,BUY
2025-03-04,BUY
2025-03-05,SELL
2025-03-06,BUY
2025-03-07,SELL
2025-03-10,BUY
2025-03-11,BUY
2025-03-12,SELL
2025-03-13,BUY
2025-03-14,BUY
2025-03-17,SELL
2025-03-18,SELL
2025-03-19,SELL
2025-03-20,SELL
2025-03-21,SELL
2025-03-24,HOLD
2025-03-25,BUY
2025-03-26,SELL
2025-03-27,BUY
2025-03-28,SELL
2025-03-31,BUY
2025-04-01,BUY
2025-04-02,SELL
2025-04-03,SELL
2025-04-04,SELL
2025-04-07,SELL
2025-04-08,BUY
2025-04-09,BUY
2025-04-10,BUY
2025-04-11,HOLD
2025-04-14,SELL
2025-04-15,BUY
2025-04-16,BUY
2025-04-17,SELL
2025-04-21,SELL
2025-04-22,SELL
2025-04-23,SELL
2025-04-24,SELL
2025-04-25,BUY
2025-04-28,SELL
2025-04-29,SELL
2025-04-30,BUY
2025-05-01,BUY
2025-05-02,SELL
2025-05-05,BUY
2025-05-06,BUY
2025-05-07,BUY
2025-05-08,SELL
2025-05-09,BUY
2025-05-12,BUY
2025-05-13,SELL
2025-05-14,SELL
2025-05-15,SELL
2025-05-16,SELL
2025-05-19,SELL
2025-05-20,BUY
2025-05-21,BUY
2025-05-22,SELL
2025-05-23,SELL
2025-05-27,BUY
2025-05-28,SELL
2025-05-29,SELL
2025-05-30,BUY
2025-06-02,SELL
2025-06-03,SELL
2025-06-04,SELL
2025-06-05,SELL
2025-06-06,SELL
2025-06-09,HOLD
2025-06-10,BUY
2025-06-11,SELL
2025-06-12,HOLD
2025-06-13,SELL
2025-06-16,SELL
2025-06-17,SELL
2025-06-18,SELL
2025-06-20,SELL
2025-06-23,SELL
2025-06-24,BUY
2025-06-25,SELL
2025-06-26,SELL
2025-06-27,BUY
2025-06-30,SELL
2025-07-01,BUY
2025-07-02,HOLD
2025-07-03,SELL
2025-07-07,SELL
2025-07-08,SELL
2025-07-09,SELL
2025-07-10,SELL
2025-07-11,SELL
2025-07-14,BUY
2025-07-15,SELL
2025-07-16,HOLD
2025-07-17,SELL
2025-07-18,SELL
2025-07-21,SELL
2025-07-22,SELL
2025-07-23,SELL
2025-07-24,SELL
2025-07-25,BUY
2025-07-28,SELL
2025-07-29,SELL
2025-07-30,SELL
2025-07-31,SELL
2025-08-01,BUY
2025-08-04,SELL
2025-08-05,SELL
2025-08-06,SELL
2025-08-07,SELL
2025-08-08,SELL
2025-08-11,SELL
2025-08-12,SELL
2025-08-13,BUY
2025-08-14,BUY
2025-08-15,SELL
2025-08-18,SELL
2025-08-19,SELL
2025-08-20,BUY
2025-08-21,SELL
2025-08-22,BUY
2025-08-25,BUY
2025-08-26,BUY
2025-08-27,BUY
2025-08-28,SELL
2025-08-29,SELL
2025-09-02,SELL
2025-09-03,SELL
2025-09-04,SELL
2025-09-05,SELL
2025-09-08,HOLD
2025-09-09,HOLD
2025-09-10,SELL
2025-09-11,HOLD
2025-09-12,SELL
2025-09-15,SELL
2025-09-16,BUY
2025-09-17,SELL
2025-09-18,BUY
2025-09-19,SELL
2025-09-22,SELL
2025-09-23,SELL
2025-09-24,SELL
2025-09-25,SELL
2025-09-26,BUY
2025-09-29,SELL
2025-09-30,BUY
2025-10-01,BUY
2025-10-02,SELL
2025-10-03,SELL
2025-10-06,BUY
2025-10-07,SELL
2025-10-08,SELL
2025-10-09,SELL
2025-10-10,BUY
2025-10-13,SELL
2025-10-14,BUY
2025-10-15,SELL
2025-10-16,SELL
2025-10-17,SELL
2025-10-20,HOLD
2025-10-21,SELL
2025-10-22,BUY
2025-10-23,BUY
2025-10-24,SELL
2025-10-27,HOLD
2025-10-28,SELL
2025-10-29,HOLD
2025-10-30,BUY
2025-10-31,SELL
2025-11-03,SELL
