exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69c313d9.01.01,JPM,2026-03-19T14:17:47+00:00,BOT,25.0,285.0,1.0,77.759853,USD
00025b45.69c313da.01.01,JPM,2026-03-19T14:17:47+00:00,BOT,9.0,285.0,0.0,28.353547,USD
00025b45.69c78cd9.01.01,JPM,2026-03-24T13:30:11+00:00,SLD,34.0,286.87,1.00663,0.0,USD
00025b45.69c792d1.01.01,JPM,2026-03-24T13:30:43+00:00,BOT,34.0,287.61,1.0,-27.16663,USD
0000dc8f.6a02fcf3.01.01,JPM,2026-03-24T13:30:47+00:00,BOT,34.0,287.03,1.0,0.0,USD
0000dc8f.6a05b663.01.01,JPM,2026-03-24T18:56:57+00:00,SLD,34.0,292.31,1.00663,177.51337,USD
00025b45.69c441e6.01.01,JPM,2026-03-20T13:30:10+00:00,SLD,34.0,288.09,1.00663,0.0,USD
00025b45.69c5d0c3.01.01,JPM,2026-03-23T13:30:40+00:00,BOT,34.0,294.86,1.0,-232.1866,USD
00025b45.69cb42a8.01.01,JPM,2026-03-26T13:30:14+00:00,BOT,34.0,293.73,1.0,41.1734,USD
00025b45.69c95887.01.01,JPM,2026-03-25T13:30:07+00:00,SLD,34.0,295.0,1.00663,0.0,USD
00025b45.69cd2c47.01.01,JPM,2026-03-27T13:30:14+00:00,SLD,34.0,289.0,1.00663,0.0,USD
00025b45.69cd7944.01.01,JPM,2026-03-27T14:09:31+00:00,BOT,34.0,285.0,1.0,133.99337,USD
