exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69c29af3.01.01,NVDA,2026-03-19T13:30:09+00:00,SLD,54.0,177.68,1.01053,-294.15053,USD
00025b47.69bb76f9.01.01,WMT,2026-03-19T13:30:21+00:00,BOT,88.0,121.9,1.0,402.7828,USD
00025b45.69c2a19d.01.01,LLY,2026-03-19T13:30:24+00:00,BOT,40.0,913.99,1.0,0.0,USD
0000dc8f.6a01375a.01.01,LLY,2026-03-19T13:30:31+00:00,BOT,60.0,913.99,0.0,0.0,USD
0000dc8f.6a013a48.01.01,NEM,2026-03-19T13:30:53+00:00,BOT,90.0,97.43,1.0,1312.8825,USD
00025b47.69bb7942.01.01,XOM,2026-03-19T13:33:24+00:00,SLD,63.0,158.19,1.012285,0.0,USD
00025b45.69c313d9.01.01,JPM,2026-03-19T14:17:47+00:00,BOT,25.0,285.0,1.0,77.759853,USD
00025b45.69c313da.01.01,JPM,2026-03-19T14:17:47+00:00,BOT,9.0,285.0,0.0,28.353547,USD
00025b47.69bb91fb.01.01,XOM,2026-03-19T15:46:39+00:00,BOT,63.0,158.57,1.0,-25.952285,USD
00025b47.69c2144d.01.01,WMT,2026-03-24T13:30:10+00:00,BOT,83.0,120.92,1.0,-18.6162,USD
00025b45.69c78cd9.01.01,JPM,2026-03-24T13:30:11+00:00,SLD,34.0,286.87,1.00663,0.0,USD
00025b45.69c78e62.01.01,NEM,2026-03-24T13:30:34+00:00,SLD,100.0,97.41,1.0195,0.0,USD
00025b45.69c78e63.01.01,NEM,2026-03-24T13:30:35+00:00,SLD,3.0,97.41,0.000585,0.0,USD
00025b45.69c78eab.01.01,LLY,2026-03-24T13:30:35+00:00,SLD,114.0,902.2,1.02223,-1361.22223,USD
00025b44.69c26802.01.01,CAT,2026-03-24T13:30:39+00:00,SLD,14.0,694.75,1.00273,-99.72273,USD
00025b45.69c792d1.01.01,JPM,2026-03-24T13:30:43+00:00,BOT,34.0,287.61,1.0,-27.16663,USD
00025b49.69c5924b.01.01,PLD,2026-03-24T13:30:47+00:00,BOT,88.0,129.59,1.0,363.1828,USD
0000dc8f.6a02fcf3.01.01,JPM,2026-03-24T13:30:47+00:00,BOT,34.0,287.03,1.0,0.0,USD
0000dc8f.6a030271.01.01,XOM,2026-03-24T13:31:35+00:00,BOT,63.0,163.29,1.0,-217.4723,USD
0000dc8f.6a05b663.01.01,JPM,2026-03-24T18:56:57+00:00,SLD,34.0,292.31,1.00663,177.51337,USD
00025b45.69c44058.01.01,NVDA,2026-03-20T13:30:08+00:00,BOT,56.0,177.34,1.0,0.0,USD
00025b45.69c441e6.01.01,JPM,2026-03-20T13:30:10+00:00,SLD,34.0,288.09,1.00663,0.0,USD
00025b45.69c442b4.01.01,NEE,2026-03-20T13:30:19+00:00,BOT,108.0,92.95,1.0,25.6589,USD
00025b45.69c442df.01.01,NEM,2026-03-20T13:30:20+00:00,SLD,100.0,99.2,1.0195,0.0,USD
00025b47.69bcc7e1.01.01,WMT,2026-03-20T13:30:20+00:00,SLD,83.0,120.72,1.016185,0.0,USD
00025b44.69bd7909.01.01,CAT,2026-03-20T13:30:20+00:00,BOT,14.0,688.98,1.0,236.2773,USD
00025b47.69bcca31.01.01,XOM,2026-03-20T13:33:10+00:00,SLD,63.0,159.87,1.012285,0.0,USD
00025b45.69c54329.01.01,NVDA,2026-03-20T19:36:38+00:00,SLD,56.0,172.01,1.01092,-300.49092,USD
00025b44.69c0e73b.01.01,CAT,2026-03-23T13:30:09+00:00,BOT,14.0,701.73,1.0,0.0,USD
00025b45.69c5c2b4.01.01,NEM,2026-03-23T13:30:11+00:00,BOT,100.0,98.03,1.0,114.9805,USD
00025b45.69c5c381.01.01,NEE,2026-03-23T13:30:13+00:00,SLD,108.0,90.25,1.02106,0.0,USD
0000dc8f.6a02599d.01.01,NEE,2026-03-23T13:30:16+00:00,SLD,4.0,90.25,0.00078,0.0,USD
00025b45.69c5cb77.01.01,NVDA,2026-03-23T13:30:30+00:00,SLD,58.0,176.06,1.01131,0.0,USD
00025b45.69c5d0c3.01.01,JPM,2026-03-23T13:30:40+00:00,BOT,34.0,294.86,1.0,-232.1866,USD
0000dc8f.6a026194.01.01,LLY,2026-03-23T13:31:44+00:00,BOT,14.0,915.0,1.0,0.0,USD
00025b46.69c4d014.01.01,TSLA,2026-03-26T13:30:12+00:00,SLD,25.0,382.33,1.004875,0.0,USD
00025b45.69cb42a8.01.01,JPM,2026-03-26T13:30:14+00:00,BOT,34.0,293.73,1.0,41.1734,USD
00025b45.69cb42ac.01.01,NEM,2026-03-26T13:30:15+00:00,BOT,98.0,99.25,1.0,0.0,USD
